ABECAL,1.13712
ANTCEN,1.95118
BEANTR,2.0243
BENZEN,4.3761
BIFUOR,2.99476
BIGJUX,1.38582
BIPHEN,3.20463
BNPERY,2.09305
BNPYRE10,1.733
BOXGAW,1.02513
BZPHAN,2.57503
CARREU,1.05262
CENXUO,2.19228
CENYAV,2.11966
CENYEZ,2.15023
CEQGEL,2.3321
CORANN12,2.59671
CORONE01,2.38216
CORXAI10,1.39752
CRYSEN01,2.41607
DBNTHR02,2.34285
DBPERY,1.56823
DBPHEN02,2.36323
DBZCOR,1.86136
DNAPAN,1.84295
DPANTR01,1.90796
DUPHAX,1.14115
FACPEE,2.45926
FLUANT02,2.35803
FOVVOB,3.20712
GUQZUP,2.04405
HBZCOR,1.66124
HPHBNZ03,3.47416
IZUCIP,2.33334
JULSOY,1.31764
KAFVUI,1.92366
KAGFOP,1.09353
KAGFUV,1.3011
KAGGAC,1.2495
KAGGEG,0.83777
KAGGIK,1.23506
KAQLEV,1.93488
KECLAH,0.70033
KEGHEJ01,0.97361
KIDJUD03,3.1591
KUBVUY,1.99075
KUBWAF01,1.81304
KUZXUA,1.98991
LIMCUF,1.93768
NAPANT01,0.81726
OBOHUL,0.81548
OVALEN01,1.69062
PENCEN,0.64213
PERLEN05,1.45177
PERLEN07,1.34019
PEZPIU,1.8442
PEZPUG,1.8275
PHNAPH,0.82855
POBPIG,1.20874
POBPIG06,1.2192
PUJQIV,1.60792
PUNVEA,3.24522
PUNVIE,3.18407
PYRCEN,2.69078
PYRPYR10,1.873
QQQCIG04,1.01556
QQQCIG13,1.34326
QQQCIG14,1.17944
QUATER10,0.62756
QUPHEN,2.34457
QUPHEN01,2.39894
RAKGOA,2.27602
REBWIE,1.77077
SANQII,2.19687
SETTES,1.78284
SURTAA,1.69915
TAYSUJ,0.85558
TBZHCE,1.05354
TBZPER,1.70135
TBZPYR,1.84585
TEBNAP,2.37185
TERPHE02,2.63744
TERPHO02,3.362
TETCEN01,1.09876
TPHBEN01,3.08905
TRIPHE12,2.97412
VEBJAO,1.00826
VEBJES,1.00414
VEBJIW,0.8601
VEBJOC,0.92642
VEBKAP,0.60127
VEHCAM,2.10635
VUFHUA,1.92222
XECJIZ,1.19171
YITJAN,2.15013
YOFCUR,1.41848
YUNYAJ,1.34454
ZZZDKE01,0.44081
ZZZNKU01,2.14776
ZZZNTQ01,2.02512
ZZZOYC01,2.31318
