ABECAL,1.16552886
ANTCEN,1.92572648
BEANTR,2.09942163
BENZEN,4.36215239
BIFUOR,2.92087888
BIGJUX,1.40058405
BIPHEN,3.23133328
BNPERY,1.74328721
BNPYRE10,1.66910054
BOXGAW,1.05075587
BZPHAN,2.54922335
CARREU,1.07371604
CENXUO,2.33550924
CENYAV,2.28672254
CENYEZ,2.43902701
CEQGEL,2.33696096
CORANN12,2.71270525
CORONE01,2.26483882
CORXAI10,1.27653607
CRYSEN01,2.44786802
DBNTHR02,2.34431238
DBPERY,1.53477291
DBPHEN02,2.39765622
DBZCOR,1.81346891
DNAPAN,1.84665618
DPANTR01,1.94292597
DUPHAX,1.32390545
FACPEE,2.60530671
FLUANT02,2.59599911
FOVVOB,3.17059339
GUQZUP,2.06211975
HBZCOR,1.64524786
HPHBNZ03,3.48524079
IZUCIP,2.31177192
JULSOY,1.26344494
KAFVUI,2.01446195
KAGFOP,1.07522489
KAGFUV,1.30072535
KAGGAC,1.27233088
KAGGEG,0.97612035
KAGGIK,1.27248134
KAQLEV,1.97904118
KECLAH,0.72306451
KEGHEJ01,0.919717
KIDJUD03,3.20663868
KUBVUY,2.15267255
KUBWAF01,1.96358516
KUZXUA,2.01119537
LIMCUF,1.98911376
NAPANT01,1.02108517
OBOHUL,0.81512687
OVALEN01,1.57956611
PENCEN,0.898
PERLEN05,1.63415664
PERLEN07,1.236
PEZPIU,1.821
PEZPUG,2.0133555
PHNAPH,0.80645588
POBPIG,1.38826465
POBPIG06,1.38826465
PUJQIV,1.67868353
PUNVEA,3.27560402
PUNVIE,3.19676503
PYRCEN,2.75315362
PYRPYR10,1.80212502
QQQCIG04,1.16035309
QQQCIG13,1.44577573
QQQCIG14,1.18090885
QUATER10,0.78414832
QUPHEN,2.5273672
QUPHEN01,2.402
RAKGOA,2.27697863
REBWIE,1.77465051
SANQII,2.17429648
SETTES,1.97464931
SURTAA,1.66240029
TAYSUJ,0.85173577
TBZHCE,0.95026913
TBZPER,1.70971081
TBZPYR,1.92853015
TEBNAP,2.33151868
TERPHE02,2.647
TERPHO02,3.34035487
TETCEN01,1.365
TPHBEN01,2.93923976
TRIPHE12,2.966
VEBJAO,1.024
VEBJES,1.005453
VEBJIW,0.82771205
VEBJOC,0.92992971
VEBKAP,0.72148073
VEHCAM,2.105105
VUFHUA,2.14381283
XECJIZ,1.13297643
YITJAN,2.25050089
YOFCUR,1.38812179
YUNYAJ,1.36478973
ZZZDKE01,0.32752965
ZZZNKU01,2.1779926
ZZZNTQ01,2.06697342
ZZZOYC01,2.26210679
